CD_CIDADE;NM_CIDADE;ESTADO
209;ABACATE DA PEDREIRA;AP
751;ABADIA;BA
2422;ABADIA DE GOIAS;GO
3288;ABADIA DOS DOURADOS;MG
2480;ABADIANIA;GO
3289;ABAETE;MG
3290;ABAETE DOS MENDES;MG
5002;ABAETETUBA;PA
1589;ABAIARA;CE
3291;ABAIBA;MG
305;ABAIRA;BA
6436;ABAPA;PR
421;ABARE;BA
7417;ABARRACAMENTO;RJ
6332;ABATIA;PR
9506;ABDON BATISTA;SC
5003;ABEL FIGUEIREDO;PA
9507;ABELARDO LUZ;SC
422;ABELHAS;BA
1590;ABILIO MARTINS;CE
423;ABOBORA;BA
424;ABRANTES;BA
3348;ABRE CAMPO;MG
6049;ABREU E LIMA;PE
10645;ABREULANDIA;TO
3349;ABREUS;MG
7946;ABUNA;RO
3350;ACAIACA;MG
2796;ACAILANDIA;MA
520;ACAJUTIBA;BA
6437;ACAMPAMENTO DAS MINAS;PR
5004;ACARA;PA
1591;ACARAPE;CE
825;ACARAU;CE
7724;ACARI;RN
6133;ACAUA;PI
8872;ACEGUA;RS
2135;ACIOLI;ES
8272;ACOITA CAVALO;RS
826;ACOPIARA;CE
4885;ACORIZAL;MT
551;ACRELANDIA;AC
2481;ACREUNA;GO
7725;ACU;RN
521;ACU DA TORRE;BA
3351;ACUCENA;MG
1366;ACUDE DOS PINHEIROS;CE
425;ACUDINA;BA
1488;ACUDINHO DOS COSTAS;CE
6438;ACUNGUI;PR
426;ACUPE;BA
3333;ACURUI;MG
9894;ADAMANTINA;SP
3334;ADAO COLARES;MG
2482;ADELANDIA;GO
6435;ADHEMAR DE BARROS;PR
9895;ADOLFO;SP
827;ADRIANOPOLIS;CE
6426;ADRIANOPOLIS;PR
1302;ADRO DE SAO GONCALO;BA
427;ADUSTINA;BA
428;AFLIGIDOS;BA
5913;AFOGADOS DA INGAZEIRA;PE
7419;AFONSO ARINOS;RJ
7726;AFONSO BEZERRA;RN
2136;AFONSO CLAUDIO;ES
2797;AFONSO CUNHA;MA
8003;AFONSO RODRIGUES;RS
5893;AFRANIO;PE
429;AFRANIO PEIXOTO;BA
5005;AFUA;PA
2137;AGHA;ES
9864;AGISSE;SP
6427;AGOSTINHO;PR
5894;AGRESTINA;PE
6134;AGRICOLANDIA;PI
9508;AGROLANDIA;SC
9515;AGRONOMICA;SC
5006;AGROPOLIS BELA VISTA;PA
6428;AGUA AZUL;PR
5007;AGUA AZUL DO NORTE;PA
4886;AGUA BOA;MT
6429;AGUA BOA;PR
4550;AGUA BOA;MS
3335;AGUA BOA;MG
593;AGUA BRANCA;AL
6135;AGUA BRANCA;PI
5319;AGUA BRANCA;PB
6430;AGUA BRANCA;PR
3336;AGUA BRANCA DE MINAS;MG
4551;AGUA CLARA;MS
3337;AGUA COMPRIDA;MG
4931;AGUA DA PRATA;MT
9509;AGUA DOCE;SC
430;AGUA DOCE;BA
2777;AGUA DOCE DO MARANHAO;MA
2138;AGUA DOCE DO NORTE;ES
5008;AGUA FRIA;PA
4887;AGUA FRIA;MT
431;AGUA FRIA;BA
5895;AGUA FRIA;PE
2483;AGUA FRIA DE GOIAS;GO
2484;AGUA LIMPA;GO
6431;AGUA MINERAL;PR
7727;AGUA NOVA;RN
5896;AGUA PRETA;PE
8219;AGUA SANTA;RS
3148;AGUA SANTA DE MINAS;MG
1456;AGUA VERDE;CE
6432;AGUA VERMELHA;PR
9955;AGUA VERMELHA;SP
3338;AGUA VIVA;MG
4573;AGUACU;MT
9935;AGUAI;SP
828;AGUAI;CE
3339;AGUANIL;MG
4574;AGUAPEI;MT
8174;AGUAPES;RS
1440;AGUAS BELAS;CE
5897;AGUAS BELAS;PE
9510;AGUAS BRANCAS;SC
9520;AGUAS CLARAS;SC
4575;AGUAS CLARAS;MT
8854;AGUAS CLARAS;RS
9936;AGUAS DA PRATA;SP
3340;AGUAS DE ARAXA;MG
9521;AGUAS DE CHAPECO;SC
3033;AGUAS DE CONTENDAS;MG
9860;AGUAS DE LINDOIA;SP
9937;AGUAS DE SANTA BARBARA;SP
9938;AGUAS DE SAO PEDRO;SP
432;AGUAS DO PAULISTA;BA
3034;AGUAS FERREAS;MG
3341;AGUAS FORMOSAS;MG
9522;AGUAS FRIAS;SC
2485;AGUAS LINDAS DE GOIAS;GO
9523;AGUAS MORNAS;SC
3342;AGUAS VERMELHAS;MG
8220;AGUDO;RS
9939;AGUDOS;SP
6433;AGUDOS DO SUL;PR
2159;AGUIA BRANCA;ES
5320;AGUIAR;PB
10646;AGUIARNOPOLIS;TO
9940;AGULHA;SP
7420;AGULHAS NEGRAS;RJ
9524;AGUTI;SC
3343;AIMORES;MG
4576;AINHUMAS;MT
433;AIQUARA;BA
5898;AIRI;PE
2139;AIRITUBA;ES
829;AIUA;CE
830;AIUABA;CE
9525;AIURE;SC
3344;AIURUOCA;MG
9941;AJAPI;SP
8855;AJURICABA;RS
3345;ALAGOA;MG
5321;ALAGOA GRANDE;PB
5322;ALAGOA NOVA;PB
831;ALAGOINHA;CE
5323;ALAGOINHA;PB
832;ALAGOINHA;CE
5899;ALAGOINHA;PE
6215;ALAGOINHA DO PIAUI;PI
